time,low,high,open,close,volume,iso_time,batch
1578877200,8138.26,55000.0,8153.06,8138.28,160324.68446298,2020-01-12 19:00:00,1
1578880800,6666.0,55000.0,8138.28,9000.0,183067.96552596,2020-01-12 20:00:00,1
1578884400,930.93,55000.0,9000.0,8109.99,136595.35239701,2020-01-12 21:00:00,1
1578888000,8090.49,8120.25,8109.99,8111.46,2853.33067178,2020-01-12 22:00:00,1
1578891600,8076.47,8120.43,8111.46,8078.81,2984.7216,2020-01-12 23:00:00,1
1578895200,8052.59,8103.92,8078.81,8052.59,2999.1636,2020-01-13 00:00:00,1
1578898800,8052.59,8070.37,8052.59,8070.35,1819.4559,2020-01-13 01:00:00,1
1578902400,8059.91,8100.01,8070.35,8100.01,2110.57979934,2020-01-13 02:00:00,1
1578906000,8079.76,8124.66,8100.01,8079.78,4010.10006769,2020-01-13 03:00:00,1
1578909600,8079.76,8114.68,8079.78,8091.31,3477.3191,2020-01-13 04:00:00,1
1578913200,8090.74,8129.29,8091.31,8096.68,1882.81647844,2020-01-13 05:00:00,1
1578916800,8067.78,8115.82,8096.68,8072.18,3530.36322914,2020-01-13 06:00:00,1
1578920400,8072.16,8102.18,8072.18,8072.55,2948.76779414,2020-01-13 07:00:00,1
1578924000,8066.64,8087.31,8072.55,8082.2,2102.27241618,2020-01-13 08:00:00,1
1578927600,8068.0,8083.24,8082.22,8071.5,1593.121,2020-01-13 09:00:00,1
1578931200,8067.04,8092.4,8071.5,8090.01,2752.1772881,2020-01-13 10:00:00,1
1578934800,8087.89,8123.65,8090.01,8087.91,4868.53743475,2020-01-13 11:00:00,1
1578938400,8087.89,8108.78,8087.91,8092.16,1561.85844548,2020-01-13 12:00:00,1
1578942000,8092.14,8115.09,8092.16,8107.81,724.16940647,2020-01-13 13:00:00,1
1578945600,8105.37,8140.92,8107.81,8140.0,1980.37385849,2020-01-13 14:00:00,1
1578949200,8117.97,8148.55,8140.0,8134.99,2203.87476884,2020-01-13 15:00:00,1
1578952800,8113.0,8148.55,8134.99,8115.52,3043.34097893,2020-01-13 16:00:00,1
1578956400,8115.5,8128.67,8115.52,8123.0,3555.69786628,2020-01-13 17:00:00,1
1578960000,8119.47,8277.34,8123.0,8277.32,4487.38724735,2020-01-13 18:00:00,1
1578963600,6000.0,55000.0,8277.32,8426.02,118737.40230859,2020-01-13 19:00:00,1
1578967200,6000.0,55000.0,8426.02,8411.76,224727.75514447,2020-01-13 20:00:00,1
1578970800,8393.28,8461.8,8411.76,8446.6,3255.3026,2020-01-13 21:00:00,1
1578974400,8446.58,8536.01,8446.6,8532.12,3723.79837949,2020-01-13 22:00:00,1
1578978000,8493.0,8552.18,8532.12,8493.0,2692.6886,2020-01-13 23:00:00,1
1578981600,8483.2,8499.29,8493.0,8489.79,1803.6419,2020-01-14 00:00:00,1
1578985200,8489.77,8529.31,8489.79,8527.73,2014.52183812,2020-01-14 01:00:00,1
1578988800,8503.72,8536.11,8527.73,8512.16,2114.9672856400002,2020-01-14 02:00:00,1
1578992400,8486.49,8530.67,8512.16,8486.51,2276.50097399,2020-01-14 03:00:00,1
1578996000,8467.04,8514.1,8486.51,8514.08,2637.31537744,2020-01-14 04:00:00,1
1578999600,8505.96,8516.77,8514.1,8510.01,1555.0983728,2020-01-14 05:00:00,1
1579003200,6000.0,9000.0,8510.01,8493.67,133013.51481828,2020-01-14 06:00:00,1
1579006800,8493.67,8565.95,8493.67,8564.27,3159.08630487,2020-01-14 07:00:00,1
1579010400,8564.25,8703.77,8564.27,8703.61,3589.18595596,2020-01-14 08:00:00,1
1579014000,8654.15,8710.45,8703.61,8709.98,3700.92766154,2020-01-14 09:00:00,1
1579017600,8552.43,8741.14,8709.98,8626.56,3622.01753882,2020-01-14 10:00:00,1
1579021200,8626.54,8804.32,8626.56,8803.17,3364.41870304,2020-01-14 11:00:00,1
1579024800,8719.99,8816.62,8803.17,8744.37,13070.21170353,2020-01-14 12:00:00,1
1579028400,8721.98,8767.07,8744.37,8750.01,2962.0678586,2020-01-14 13:00:00,1
1579032000,8686.99,8768.44,8750.01,8687.01,2407.29531833,2020-01-14 14:00:00,1
1579035600,8686.99,8748.01,8687.01,8747.99,1831.75248851,2020-01-14 15:00:00,1
1579039200,8743.28,8793.41,8747.99,8758.13,2132.82227659,2020-01-14 16:00:00,1
1579042800,8737.67,8884.11,8758.13,8865.54,2984.9372338,2020-01-14 17:00:00,1
1579046400,8771.1,8884.76,8865.54,8830.65,3791.76,2020-01-14 18:00:00,1
1579050000,8723.26,8877.32,8830.65,8750.95,3061.4772,2020-01-14 19:00:00,1
1579053600,8750.93,8802.1,8750.95,8801.19,2104.2276,2020-01-14 20:00:00,1
1579057200,8732.44,8802.1,8801.19,8732.44,3263.61386931,2020-01-14 21:00:00,1
1579060800,8614.99,8781.44,8732.44,8630.05,3142.0811,2020-01-14 22:00:00,1
1579064400,7900.0,8653.32,8630.05,8622.95,113263.52576247,2020-01-14 23:00:00,1
1579068000,8619.99,8663.02,8622.95,8663.0,11465.7053,2020-01-15 00:00:00,1
1579071600,8613.31,8664.32,8663.0,8621.22,12357.73417916,2020-01-15 01:00:00,1
1579075200,8605.39,8665.02,8621.22,8628.69,2328.39786145,2020-01-15 02:00:00,1
1579078800,8628.69,8703.2,8628.71,8702.28,2161.95246139,2020-01-15 03:00:00,1
1579082400,8702.26,8781.15,8702.28,8781.13,3474.63543147,2020-01-15 04:00:00,1
1579086000,8731.28,8781.44,8781.15,8731.28,2216.57456601,2020-01-15 05:00:00,1
1579089600,8731.28,8781.44,8731.28,8747.61,12393.90213972,2020-01-15 06:00:00,1
1579093200,8747.59,8854.09,8747.61,8853.93,3143.2468,2020-01-15 07:00:00,1
1579096800,8818.16,8872.27,8853.93,8867.59,3730.55551139,2020-01-15 08:00:00,1
